appname,applink,appinstallcount,appsize,appcomment
芒果TV,https://www.wandoujia.com/apps/com.hunantv.imgo.activity,2亿,56.63,湖南卫视官方视频APP
滴滴出行,https://www.wandoujia.com/apps/com.sdu.didi.psnger,1.1亿,64.11,一键叫车快捷出行
搜狗输入法,https://www.wandoujia.com/apps/com.sohu.inputmethod.sogou,4.7亿,37.34,打字精准、界面美的输入法
刷宝,https://www.wandoujia.com/apps/com.jm.video,129.7万,30.87,看视频，领福利
安全教育平台,https://www.wandoujia.com/apps/com.jzzs.ParentsHelper,1192.9万,14.23,安全教育移动版
芒果TV,https://www.wandoujia.com/apps/com.hunantv.imgo.activity,2亿,56.63,湖南卫视官方视频APP
滴滴出行,https://www.wandoujia.com/apps/com.sdu.didi.psnger,1.1亿,64.11,一键叫车快捷出行
小红书,https://www.wandoujia.com/apps/com.xingin.xhs,2048万,53.75,小红书—找到国外的好东西！
工行手机银行,https://www.wandoujia.com/apps/com.icbc,8281.4万,121.14,工行官方APP，随时享受工行金融服务
有钱花,https://www.wandoujia.com/apps/com.duxiaoman.umoney,94.4万,13.95,贷款借款借钱平台
云闪付,https://www.wandoujia.com/apps/com.unionpay,1927.4万,71.29,一切为了让支付更加方便，银联出品
中国银行,https://www.wandoujia.com/apps/com.chinamworld.bocmbci,4265.9万,81.69,中银官方APP，你的掌上支付管家
喜马拉雅,https://www.wandoujia.com/apps/com.ximalaya.ting.android,1.7亿,54.23,海量原创曲库，想听就听
讯飞输入法,https://www.wandoujia.com/apps/com.iflytek.inputmethod,1.5亿,21.82,说话变文字，方言也能懂
钉钉,https://www.wandoujia.com/apps/com.alibaba.android.rimet,3577.4万,85.98,最安全稳定的手机沟通方式！
斗鱼直播,https://www.wandoujia.com/apps/air.tv.douyu.android,1.1亿,47.77,斗鱼嘉年华
中国移动,https://www.wandoujia.com/apps/com.greenpoint.android.mc10086.activity,1.2亿,25.33,中国移动官方服务应用
火山小视频,https://www.wandoujia.com/apps/com.ss.android.ugc.live,1.5亿,28.96,在火山，热爱生活
虎牙直播,https://www.wandoujia.com/apps/com.duowan.kiwi,1.3亿,53.12,国内领先的互动直播平台
淘集集,https://www.wandoujia.com/apps/com.huanshou.taojj,237.9万,26.91,全场一元起购物
鹿鹿司机,https://www.wandoujia.com/apps/com.joyfulmonster.kongchepei.driver,1.4万,6.46,鹿鹿司机是“易鹿发智能货运移动网”旗下的一款服务国内货车司机集配货、定位、保险为一体，安装在移动终端
微信分身版,https://www.wandoujia.com/apps/com.xunrui.duokai_box,1227.7万,14.19,多个身份多重惊喜
UC浏览器极速版,https://www.wandoujia.com/apps/com.ucmobile.lite,990.3万,19.41,体积小、省流量、不卡顿的极速浏览器
酷我音乐,https://www.wandoujia.com/apps/cn.kuwo.player,2.9亿,49.54,听歌用酷我，资源多又全
书旗小说,https://www.wandoujia.com/apps/com.shuqi.controller,3.2亿,26.25,免费小说电子书
全本免费小说阅读器,https://www.wandoujia.com/apps/cc.quanben.novel,1133.2万,17.93,尽揽万千免费小说
QQ同步助手,https://www.wandoujia.com/apps/com.tencent.qqpim,1亿,11.84,安全、免费手机数据备份
饿了么,https://www.wandoujia.com/apps/me.ele,1.2亿,39.2,速度快优惠多，吃货必备
腾讯手机管家,https://www.wandoujia.com/apps/com.tencent.qqpimsecure,3.4亿,18.79,微信官方清理缓存
驾考宝典,https://www.wandoujia.com/apps/com.handsgo.jiakao.android,1.5亿,70.75,十个考驾照，九个用宝典，考驾照必备神器！
QQ邮箱,https://www.wandoujia.com/apps/com.tencent.androidqqmail,6967.1万,18.76,全面管理你的邮箱
Faceu激萌,https://www.wandoujia.com/apps/com.lemon.faceu,5202.6万,70.93,Faceu激萌你
猎豹清理大师,https://www.wandoujia.com/apps/com.cleanmaster.mguard_cn,2.5亿,26.76,6亿人用清理软件
咪咕视频,https://www.wandoujia.com/apps/com.cmcc.cmvideo,5374.8万,71.37,我们一起上春晚
12306官方版,https://www.wandoujia.com/apps/com.MobileTicket,1.9亿,27.37,火车票售票官方软件
BeautyCam美颜相机,https://www.wandoujia.com/apps/com.meitu.meiyancamera,2亿,57.49,自拍神器，秒变白富美！
QQ轻聊版,https://www.wandoujia.com/apps/com.tencent.qqlite,2亿,11.02,省内存，聊天更畅快！
汽车之家,https://www.wandoujia.com/apps/com.cubic.autohome,7077.1万,47.04,看最新车讯，查最低车价
番茄直播,https://www.wandoujia.com/apps/com.xiaogongju.live,69.2万,59.06,美女直播秀场社区
邮储银行,https://www.wandoujia.com/apps/com.yitong.mbank.psbc,1342.3万,54.18,轻松办理银行业务
百度贴吧,https://www.wandoujia.com/apps/com.baidu.tieba,1.4亿,56.82,百度贴吧，每天有新神贴！
今日头条极速版,https://www.wandoujia.com/apps/com.ss.android.article.lite,6994.6万,6.74,今日头条-看资讯
WPS Office,https://www.wandoujia.com/apps/cn.wps.moffice_eng,8539.8万,39.47,随时随地高效办公
B612咔叽,https://www.wandoujia.com/apps/com.campmobile.snowcamera,2989万,87.9,有了它，忍不住想自拍
微贷网,https://www.wandoujia.com/apps/com.renrun.aphone.app,1136.2万,33.15,纽交所上市平台
墨迹天气,https://www.wandoujia.com/apps/com.moji.mjweather,1.2亿,20.42,做最懂你的天气
美团外卖,https://www.wandoujia.com/apps/com.sankuai.meituan.takeoutnew,6631.3万,49.29,足不出户，美食送到家！
联通手机营业厅(官方版),https://www.wandoujia.com/apps/com.sinovatech.unicom.ui,6044.5万,35.57,中国联通官方服务应用
水多直播,https://www.wandoujia.com/apps/com.tiange.multiwater,259.1万,42.35,爱的就是心跳
PicsArt美易照片编辑,https://www.wandoujia.com/apps/com.picsart.studio,1662.8万,40.92,修图 App 中的弄「潮」儿
PicsArt美易照片编辑,https://www.wandoujia.com/apps/com.picsart.studio,1662.8万,40.92,修图 App 中的弄「潮」儿
番茄社区,https://www.wandoujia.com/apps/com.chushou.findingme,70.2万,36.01,酒吧娱乐消费必备
嘀嗒出行,https://www.wandoujia.com/apps/com.didapinche.booking,2165.7万,81.16,打出租车顺风车必用
图库,https://www.wandoujia.com/apps/com.flikie.wallpapers.gallery,553.9万,1.01,强大的看图软件，让你简单阅读
个人所得税计算器,https://www.wandoujia.com/apps/cn.noside.tax,17.8万,403K,这个是计算个人所得税的工具，简洁而强大。 新增记忆功能，上一次的输入数据在下次程序启动恢复，更加人性
手机卷尺,https://www.wandoujia.com/apps/kr.kim1001.RulerAC,22.9万,1.63,试想一下，你需要衡量东西的时候，你没有一个卷尺是不是很不方便呢？不用担心！现在，这儿软件可以帮你解决
查找对方号码位置,https://www.wandoujia.com/apps/com.whzy.gps.search.name150,30.9万,1.12,简单地说，通过本程序，你只需要知道情人的手机号码，输入后，就可查看该手机（号码）的行踪轨迹，以及卫星
最大音量,https://www.wandoujia.com/apps/com.brokenvera.sndctrl,17.8万,1.38,最大音量applicatior控制所有的均衡器设置，使你得到一个最大的音响和低音增强您的手机上。为获
Line Dual,https://www.wandoujia.com/apps/com.androidapp.line,5.9万,455K,你想安装线2的移动设备上，你只需要一个电话号码吗？我们解释如何做到这一点，很简单。...
港澳台,https://www.wandoujia.com/apps/com.unitepower.mcd2_HKM,8.4万,13.92,香港、澳门是亚洲繁华的大都市，香港被称为东方之珠，澳门行政区是一座海滨城市，素有东方蒙地卡罗的美誉。
饥荒攻略超级助手,https://www.wandoujia.com/apps/com.ast.hjzs,8.8万,6.32,饥荒攻略带你玩
电子鞭炮,https://www.wandoujia.com/apps/net.newtool.bianpao,6.9万,3.78,这是一款在新年和其他喜庆时刻使用的电子鞭炮软件，可以模拟发出多种鞭炮声音，声音响亮。
你脱还是我脱,https://www.wandoujia.com/apps/com.happyfish.nituo,8.6万,552K,那天，潇洒姐尚好佳接到了一个昨晚对她表白的男人电话。 你今天怎么那么早就走了呢？ 喝多了，就走了呗！
七彩手电,https://www.wandoujia.com/apps/com.flash.info,14.7万,785K,你是否已经厌倦了单调的白光？有了这个此应用，你的手电将不会只有单纯的的白光，他将是一个七彩的圆环在屏
健康72式,https://www.wandoujia.com/apps/com.health72,4.6万,896K,开发者：来自360助手
看IMEI和IMSI,https://www.wandoujia.com/apps/com.hfutxf.viewimei,18.4万,81K,通过本软件，可以查看到手机的IMEI和IMSI。
USB快捷调试开关,https://www.wandoujia.com/apps/com.usbShortCut,41.1万,3.21,抛弃繁琐步骤，所有操作只需一次触摸，快捷从这里开始！ 快速打开USB开关调试界面.操作简单快捷! 新
广东移动通信报,https://www.wandoujia.com/apps/com.giahoo,10万,323K,应用介绍 “《广东移动通信》报”客户端软件是中国移动广东公司推出的在线应用类业务，让用户在桌面上就可
V2智能,https://www.wandoujia.com/apps/nes.nesreport,22.8万,3.94,
云相册,https://www.wandoujia.com/apps/com.huawei.gallery,68.8万,2.45,云相册含有如下功能：1.在云端新建/删除相册。2.显示云相册。3.显示云相册多张照片缩略图。4.显示
专业测谎仪,https://www.wandoujia.com/apps/com.mob4.chebeinandeshenhua,3.2万,996K,"[专业测谎仪]是一款能在朋友聚会时活跃气氛的软件哦!很不错的哈!她能通过你的指纹感应你的心率,和通过"
火焰纹章烈火之剑,https://www.wandoujia.com/apps/com.yysx.gbahywzlhzj_nop,8.1万,12.47,《火焰之纹章：烈火之剑》是火焰之纹章系列是第7部作品，是登陆GBA之后的第二部作品，同时也是火纹系列
KTV转盘,https://www.wandoujia.com/apps/ktv.ktv,3.1万,826K,完美的把现实生活中KTV、酒吧里面的娱乐大转盘移植到了手机上，携带跟方便，使用更简单。是聚会，喝酒的
T-ara Soyeon Photo (免费版),https://www.wandoujia.com/apps/Tara.Soyen.tarasoyeonbybing2,1.2万,2.84,朴昭妍（谚文：박소연，英文：Park So-Yeon，1987年10月5日－），韩国女子组合T-ar
360借条,https://www.wandoujia.com/apps/com.qihoo.loan,1607.8万,19.97,专业手机贷款平台
全国违章查询,https://www.wandoujia.com/apps/com.android.cheyooh,2199.4万,12.34,全国最快速的免费违章查询工具
查找对方号码位置,https://www.wandoujia.com/apps/com.whzy.gps.search.name150,30.9万,1.12,简单地说，通过本程序，你只需要知道情人的手机号码，输入后，就可查看该手机（号码）的行踪轨迹，以及卫星
疯播直播,https://www.wandoujia.com/apps/com.fengbo.live,149.6万,93.58,深夜福利美女直播
安卓商场,https://www.wandoujia.com/apps/com.sostation.market,64.8万,6.26,基于LBS的安卓服务应用。
图片合成器,https://www.wandoujia.com/apps/cn.poco.pMix,1186.7万,64.77,两张图片，N种超赞合成玩法！
头像大师,https://www.wandoujia.com/apps/com.babycloud.headportrait,326万,7.17,微信QQ头像大全
香哈菜谱,https://www.wandoujia.com/apps/com.xiangha,746.7万,27.61,最流行的菜谱APP，人气最旺的美食社区
位置伪装大师,https://www.wandoujia.com/apps/com.xiaoya.xndw,12.8万,17.1,虚拟地理位置定位
联动云租车,https://www.wandoujia.com/apps/com.ldygo.qhzc,25万,16.55,自驾租车共享汽车
水星路由,https://www.wandoujia.com/apps/com.mercury.mercuryrouter,333.2万,1.05,水星路由手机app专用于管理和设置水星路由器的手机软件，需要与水星品牌的无线路由器搭配使用。目前支持
WIFI网速测试,https://www.wandoujia.com/apps/com.quickbird.speedtest,988.6万,3.93,随时随地检测您的网速
美剧猎人,https://www.wandoujia.com/apps/com.lzsoft.TV_Chaser,100.7万,13.19,最简单易用的美剧应用，无广告，无插播。
宝宝巴士儿歌,https://www.wandoujia.com/apps/com.sinyee.babybus.chants,55.2万,16.78,儿歌故事早教大全
亲宝宝,https://www.wandoujia.com/apps/com.dw.btime,289.4万,47.16,宝宝成长空间，妈妈育儿必备！
安兔兔硬件检测,https://www.wandoujia.com/apps/com.antutu.tester,497.8万,7.52,全球最专业的手机跑分软件
日剧社,https://www.wandoujia.com/apps/com.leku.rjtv,8.7万,9.84,日剧追番，必备神器~不用你的就out啦~~ 你还在为日剧找不到资源而苦恼吗？你还在为找种子找链接而费
沙发视频,https://www.wandoujia.com/apps/com.sohu.youju,20.1万,9.3,看视频，上沙发
国美,https://www.wandoujia.com/apps/com.gome.eshopnew,1310.1万,60.52,新人免费领取专属大礼包，首单再送158元
广州地铁,https://www.wandoujia.com/apps/com.infothinker.gzmetro,119.7万,66.25,广州地铁官方APP，以全新的信息服务方式，让您尽享地铁出行之悦。地铁出行路线、首末班车时间、车站服务
壹钱包,https://www.wandoujia.com/apps/com.paic.zhifu.wallet.activity,539.2万,47.74,任性理财，闪电还款，投资必选
360影视大全,https://www.wandoujia.com/apps/com.qihoo.video,1.7亿,25.5,强大的手机看片神器，下载流畅播放爽
贝贝,https://www.wandoujia.com/apps/com.husor.beibei,1151.6万,35.47,妈妈团购上贝贝
爱又米,https://www.wandoujia.com/apps/com.aixuedai.axd,140万,25.25,大学生信用分期
蜜秀直播,https://www.wandoujia.com/apps/com.chequer.jackson.live.meshow,214.7万,14.94,开直播：随时随地拿出手机，直播你的精彩生活，分享你的每个时刻，你就是舞台的主角。 女神级主播撒娇卖萌
悟空多开分身双开助手,https://www.wandoujia.com/apps/info.red.virtual,76.7万,5.27,免费微信多开助手
谷歌安装器,https://www.wandoujia.com/apps/com.appchina.googleinstaller,140.7万,842K,谷歌器，一键解决玩游戏闪退、黑屏的问题，玩安卓大游戏必备！
韩剧TV,https://www.wandoujia.com/apps/com.leku.hmsq,192万,23.35,你的韩剧追剧神器
叽里呱啦,https://www.wandoujia.com/apps/com.jiliguala.niuwa,329.2万,78.23,英文起名必备-宝贝和爸妈最好的英文早教老师
酷我音乐HD,https://www.wandoujia.com/apps/cn.kuwo.kwmusichd,550万,43.78,酷我音乐HD（for androidPad）是专门为androidPad定制的音乐播放器
手机电脑,https://www.wandoujia.com/apps/com.dalongtech.phonepc,292.1万,14.93,手机控制云端电脑
秀恋直播,https://www.wandoujia.com/apps/com.goldfruit.yaorao.kim.play,159.5万,14.91,视频交友直播秀场
约爱吧,https://www.wandoujia.com/apps/com.dlboya.yab,32.3万,6.47,1分找到附近美女
人民日报,https://www.wandoujia.com/apps/com.peopledailychina.activity,304.5万,27.66,重大突发，分秒必达；政策动向，权威解读
搜图神器,https://www.wandoujia.com/apps/com.example.administrator.searchpicturetool,208万,10.32,发现美图的乐趣
变老,https://www.wandoujia.com/apps/ly.appt.oldify,903.7万,19.12,它可以带你穿越时光机，看到多年以后的自己
零用钱,https://www.wandoujia.com/apps/com.app.pocketmoney,572.9万,7.13,手机赚钱
惠视频,https://www.wandoujia.com/apps/com.cashvideo,40.4万,40.42,会赚钱的视频
翼支付,https://www.wandoujia.com/apps/com.chinatelecom.bestpayclient,2235.8万,66.12,提供综合性移动支付业务和理财服务
聊天小公主,https://www.wandoujia.com/apps/com.byl.qq,264.1万,21.58,聊天娱乐一网打尽
免费音乐,https://www.wandoujia.com/apps/com.freemusicsource,40.1万,940K,免费音乐，让您从网站上下载数百万首免费歌曲，喜欢的朋友千万不要错过，快点来下载吧。
谷歌服务框架安装神器,https://www.wandoujia.com/apps/cn.legend.googleinstaller,76.8万,17.48,一键检测并安装手机系统上缺少的谷歌组件。
凤凰视频,https://www.wandoujia.com/apps/com.ifeng.newvideo,2725.5万,26.97,视频新闻全整合，24小时直击天下事
百度极速版,https://www.wandoujia.com/apps/com.baidu.searchbox.lite,8280.9万,10.93,新闻头条热点视频
公众号助手,https://www.wandoujia.com/apps/com.bangyibang.weixinmh,103万,7.02,公众平台手机版
环球网校,https://www.wandoujia.com/apps/com.edu24ol.newclass,61.2万,34.51,随时随地手机学习
江西农信新一代手机银行,https://www.wandoujia.com/apps/com.jxnxs.mobile.bank,136.3万,64.77,强大的服务功能、多重的安全保障、全新的客户体验！江西省农商银行手机银行3.0版为您贴心、智能、便捷的
云南农信个人手机银行,https://www.wandoujia.com/apps/com.mobilex.ynrcbmobilebank,169.5万,22.4,本客户端是云南省农村信用社专为Android系统用户开发的手机银行客户端。提供网点地图、转账汇款、账
扫描全能王CamScanner,https://www.wandoujia.com/apps/com.intsig.camscanner,1290.2万,66.42,最智能的扫描软件，手机秒变扫描仪
恐龙快打绿色版,https://www.wandoujia.com/apps/com.clemu.dinoclb,38.7万,13.1,《恐龙快打》是一款著名的街机游戏。游戏改编自1993年美国CBS开始放送的《Xenozoic Tal
蒸汽波相机,https://www.wandoujia.com/apps/com.wecut.vapor,86.2万,20.96,超现实图片编辑器
新浪微盘,https://www.wandoujia.com/apps/com.sina.VDisk,471.4万,22.79,6亿微博用户官方网盘，热门文件搜索下载
豆果美食,https://www.wandoujia.com/apps/com.douguo.recipe,869.5万,19.92,教你一秒变厨神，做个有范儿的吃货！
酷狗唱唱,https://www.wandoujia.com/apps/com.kugou.android.ktvapp,43.9万,64.87,酷狗出品全民K歌
超级彩票助手,https://www.wandoujia.com/apps/com.suma.cst,26.7万,7.41,彩票分析工具软件
GPS工具箱,https://www.wandoujia.com/apps/com.leduoworks.gpstoolbox,284.2万,9.11,便捷的gps精准采点和线路追踪测量工具
百度刷机,https://www.wandoujia.com/apps/com.baidu.rom.flash,547.5万,2.32,无需连接电脑，掌上体验一键刷机
库乐队,https://www.wandoujia.com/apps/com.pfsegef.greherh,8.2万,8.97,一个应用，玩转吉他。库乐队是简单、快速和准确的吉他调音应用，标准调整，现在还包括调音套件（包括降D、
无他相机,https://www.wandoujia.com/apps/com.benqu.wuta,970.9万,38.07,拍照不P，实时美颜相机
NGA玩家社区,https://www.wandoujia.com/apps/gov.pianzong.androidnga,249.1万,17.01,艾泽拉斯国家地理论坛的官方APP
老黄历,https://www.wandoujia.com/apps/com.veryapps.chinacalendar,176.4万,22.65,日历黄历天气万年历择日旅游结婚，生活好帮手！
乐动力,https://www.wandoujia.com/apps/cn.ledongli.ldl,1560.4万,59.05,全天候自动记录用户运动行为！
看多多,https://www.wandoujia.com/apps/com.baidu.searchbox.mission,31万,12.93,看得多，赚得多
折800,https://www.wandoujia.com/apps/com.tuan800.tao800,2453.3万,26.31,新人送50元礼包
软件商店,https://www.wandoujia.com/apps/com.sino.app.advancedA46944,38.1万,6.91,软件商店APP手机软件是北京信诺通联科技有限公司为客户开发的一款手机端应用软件，它为客户提供了新闻资
斐讯路由,https://www.wandoujia.com/apps/com.phicomm.cloud.soho.router,454.9万,59.11,随心所欲来管理
中央天气预报,https://www.wandoujia.com/apps/com.nineton.weatherforecast,358.8万,23.73,最好用的天气预报，足不出户，感受万变天气！
百度听书听小说,https://www.wandoujia.com/apps/com.baidu.aiting,24.8万,17.66,畅听海量有声音频
95乐播,https://www.wandoujia.com/apps/com.gzlok.papa.show,552.9万,14.93,妹子扎推的直播
应用隐藏助手,https://www.wandoujia.com/apps/com.thinkyeah.apphider,180.2万,3.35,隐藏您不想被别人看见的任何应用程序！
视频监控专家,https://www.wandoujia.com/apps/com.MEyeProv3,194万,10.22,手机监控软件，支持多种类型设备
抠图神手,https://www.wandoujia.com/apps/com.skp.adf.photopunch,237.8万,9.63,快速抠出你想要的部分，合成有趣图片
平安口袋银行,https://www.wandoujia.com/apps/com.pingan.paces.ccms,585.5万,70.9,您的综合金融管家
瑞金红都云,https://www.wandoujia.com/apps/com.jx.hdrj,4815,4.22,红都瑞金是一个融合了报纸、网站、微博、微信、APP等为一体的立体多元传播APP，它把传统媒体的原创性
薄荷好借,https://www.wandoujia.com/apps/com.mintq.bhfq,767.2万,14.24,2分钟放款
嗨秀秀场,https://www.wandoujia.com/apps/com.haixiu.ui,994.6万,19.98,你敢看，我敢播
指纹电池充电器,https://www.wandoujia.com/apps/com.wzntpxqhi.czmufb.yabb.ujxmrht.rbskexc.jkzn,242.6万,3.56,电量不足？！用指纹就能充电。
马卡龙玩图,https://www.wandoujia.com/apps/com.versa,75.3万,47.28,AI界的灵魂画手
赚生活,https://www.wandoujia.com/apps/com.fqapp.zsh,21.7万,11.08,赚生活天天双11
搜狐视频,https://www.wandoujia.com/apps/com.sohu.sohuvideo,2.1亿,44.99,全网聚合影视资源，720P画质超清体验
Via,https://www.wandoujia.com/apps/mark.via,267.4万,487K,史上最简洁小巧的浏览器
